Product,Type,Release Date,Process Size (nm),TDP (W),Transistors (million),Freq (MHz),Vendor
AMD Ryzen 9 3950X,CPU,2019-11-14,7.0,105.0,3800.0,3500.0,AMD
AMD FX-4170,CPU,2012-02-27,32.0,125.0,1200.0,4200.0,AMD
AMD Mobile Athlon 64 2800+,CPU,2004-08-01,130.0,62.0,106.0,1800.0,AMD
AMD Ryzen 5 2600,CPU,2018-04-19,12.0,65.0,4800.0,3400.0,AMD
Intel Xeon E5-2692 v2,CPU,2013-09-01,22.0,100.0,1400.0,2200.0,Intel
Intel Core i7-3930K,CPU,2011-11-14,32.0,130.0,2270.0,3200.0,Intel
Intel Celeron 2.0,CPU,2002-09-18,130.0,73.0,55.0,2000.0,Intel
Intel Core 2 Quad Q9300,CPU,2008-03-10,45.0,95.0,456.0,2500.0,Intel
Intel Pentium G6950,CPU,2010-01-07,32.0,73.0,382.0,2800.0,Intel
Intel Mobile Pentium 4 HT 2.66,CPU,2003-09-23,130.0,66.0,55.0,2667.0,Intel
Intel Core i7-3630QM,CPU,2012-09-01,22.0,45.0,1480.0,2400.0,Intel
Intel Core i7-2700K,CPU,2011-10-24,32.0,95.0,1160.0,3500.0,Intel
AMD Opteron 850,CPU,2004-05-18,130.0,89.0,106.0,2400.0,AMD
AMD Ryzen 5 4600HS,CPU,2020-01-06,7.0,35.0,9800.0,3000.0,AMD
AMD Sempron 3100+,CPU,2005-07-15,90.0,62.0,69.0,1800.0,AMD
Intel Pentium D 965 EE,CPU,2006-03-26,65.0,130.0,376.0,3730.0,Intel
AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,69.0,2000.0,AMD
Intel Core 2 Duo T7600,CPU,2006-07-27,65.0,35.0,293.0,2333.0,Intel
Intel Core i3-4102E,CPU,2013-09-04,22.0,25.0,1400.0,1600.0,Intel
AMD Opteron 246 HE,CPU,2005-03-01,90.0,55.0,106.0,2000.0,AMD
AMD Phenom X3 8450e,CPU,2008-09-08,65.0,65.0,450.0,2100.0,AMD
Intel Pentium G860T,CPU,2012-06-03,32.0,35.0,504.0,2600.0,Intel
Intel Pentium 4 HT 3.4E,CPU,2004-04-01,90.0,115.0,125.0,3400.0,Intel
AMD Phenom II X4 810,CPU,2009-02-09,45.0,95.0,758.0,2600.0,AMD
Intel Core i3-6300,CPU,2015-09-01,14.0,51.0,1400.0,3800.0,Intel
Intel Xeon E7-8867 v3,CPU,2015-06-01,22.0,165.0,1400.0,2500.0,Intel
Intel Pentium E5800,CPU,2010-11-28,45.0,65.0,228.0,3200.0,Intel
Intel Xeon W3530,CPU,2010-03-16,45.0,130.0,731.0,2800.0,Intel
AMD Opteron 846 HE,CPU,2004-05-18,130.0,55.0,106.0,2000.0,AMD
AMD Phenom X3 8750 BE,CPU,2008-09-08,65.0,95.0,450.0,2400.0,AMD
AMD A6-3620,CPU,2011-12-20,32.0,65.0,1178.0,2200.0,AMD
AMD A6-5345M,CPU,2013-06-01,32.0,17.0,1178.0,2200.0,AMD
AMD A10-7700K,CPU,2014-01-14,28.0,95.0,1178.0,3500.0,AMD
AMD Athlon 64 X2 3600+ EE,CPU,2006-08-01,90.0,65.0,154.0,2000.0,AMD
AMD Ryzen 5 3500U,CPU,2019-01-06,12.0,15.0,4940.0,2100.0,AMD
Intel Pentium 4 1.6,CPU,2001-08-27,180.0,61.0,42.0,1600.0,Intel
Intel Pentium G3250T,CPU,2014-07-21,22.0,35.0,1400.0,2800.0,Intel
Intel Core i3-4340,CPU,2013-09-01,22.0,54.0,1400.0,3600.0,Intel
Intel Pentium 4 HT 3.0E,CPU,2004-02-01,90.0,115.0,125.0,3000.0,Intel
Intel Core i3-2125,CPU,2011-09-04,32.0,65.0,504.0,3300.0,Intel
Intel Pentium M 1.60,CPU,2003-03-12,130.0,24.0,77.0,1600.0,Intel
Intel Pentium 4 HT 541,CPU,2005-06-12,90.0,84.0,125.0,3200.0,Intel
AMD Mobile Athlon 64 3200+,CPU,2004-08-01,130.0,62.0,106.0,2000.0,AMD
Intel Pentium D 925,CPU,2006-10-01,65.0,95.0,376.0,3000.0,Intel
AMD Athlon II X4 600e,CPU,2009-10-20,45.0,45.0,300.0,2200.0,AMD
Intel Core i7-4650U,CPU,2013-06-04,22.0,15.0,1300.0,1700.0,Intel
AMD Opteron 844,CPU,2004-12-01,90.0,85.0,106.0,1800.0,AMD
AMD Opteron X2 870 HE,CPU,2005-12-01,90.0,55.0,233.0,2000.0,AMD
AMD Athlon 64 LE-1640,CPU,2008-04-01,65.0,45.0,122.0,2700.0,AMD
AMD Sempron 2400+,CPU,2004-07-28,130.0,62.0,37.0,1667.0,AMD
AMD Turion 64 ML-37,CPU,2005-03-10,90.0,35.0,114.0,2000.0,AMD
Intel Pentium III 1133S,CPU,2001-06-01,130.0,29.0,44.0,1133.0,Intel
AMD Opteron X2 285,CPU,2006-03-06,90.0,95.0,233.0,2600.0,AMD
Intel Core 2 Duo T7250,CPU,2007-09-27,65.0,35.0,293.0,2000.0,Intel
Intel Core i3-4005U,CPU,2013-09-04,22.0,15.0,1400.0,1700.0,Intel
Intel Pentium 4 1.4,CPU,2000-11-20,180.0,55.0,42.0,1400.0,Intel
Intel Atom N270,CPU,2008-06-03,45.0,3.0,47.0,1600.0,Intel
AMD A8-5550M,CPU,2013-06-01,32.0,35.0,1178.0,2100.0,AMD
AMD Athlon 64 X2 4000+ EE,CPU,2006-05-23,90.0,65.0,154.0,2000.0,AMD
AMD A6-9220C SoC,CPU,2019-01-07,28.0,6.0,1200.0,1800.0,AMD
Intel Pentium M 1.50,CPU,2003-03-12,130.0,24.0,77.0,1500.0,Intel
Intel Xeon Phi 7120P,CPU,2013-06-17,22.0,300.0,5000.0,1238.0,Intel
AMD Sempron 2800+,CPU,2001-01-01,130.0,25.0,69.0,1600.0,AMD
Intel Pentium Dual-Core T4200,CPU,2009-01-01,45.0,35.0,410.0,2000.0,Intel
Intel Core 2 Duo E6300,CPU,2006-07-27,65.0,65.0,291.0,1866.0,Intel
AMD Athlon 64 X2 4000+,CPU,2006-12-05,65.0,65.0,154.0,2100.0,AMD
AMD Athlon XP-M 2600+,CPU,2001-01-01,130.0,45.0,63.0,2000.0,AMD
Intel Pentium D 935,CPU,2007-01-01,65.0,95.0,376.0,3200.0,Intel
AMD Athlon XP 2100+,CPU,2002-03-13,180.0,72.0,37.0,1733.0,AMD
Intel Pentium G645T,CPU,2012-09-02,32.0,35.0,504.0,2500.0,Intel
Intel Core Duo T2050,CPU,2005-05-01,65.0,31.0,151.0,1600.0,Intel
AMD Athlon 64 3200+,CPU,2003-09-23,130.0,89.0,105.0,2000.0,AMD
Intel Pentium G3220,CPU,2013-09-01,22.0,54.0,1400.0,3000.0,Intel
Intel Pentium 4 HT 516,CPU,2001-01-01,90.0,84.0,125.0,2933.0,Intel
Intel Xeon W3540,CPU,2009-03-30,45.0,130.0,731.0,2933.0,Intel
Intel Core 2 Duo E6400,CPU,2006-07-27,65.0,65.0,291.0,2133.0,Intel
Intel Pentium Dual-Core T4400,CPU,2009-12-01,45.0,35.0,410.0,2200.0,Intel
Intel Xeon MP 2.83,CPU,2005-03-29,90.0,135.0,286.0,2833.0,Intel
AMD A6-3430MX,CPU,2011-12-20,32.0,45.0,1178.0,1700.0,AMD
AMD Athlon XP 2000+,CPU,2002-01-07,180.0,70.0,37.0,1667.0,AMD
Intel Core i7-965,CPU,2008-11-17,45.0,130.0,731.0,3200.0,Intel
Intel Xeon X5647,CPU,2011-02-14,32.0,130.0,1170.0,2933.0,Intel
Intel Xeon Platinum 8280M,CPU,2018-12-11,14.0,205.0,8000.0,2700.0,Intel
Intel Core i7-2960XM,CPU,2011-09-04,32.0,55.0,1160.0,2700.0,Intel
Intel Core 2 Duo E8500,CPU,2008-01-01,45.0,65.0,410.0,3166.0,Intel
AMD Sempron X2 2100,CPU,2008-03-01,65.0,65.0,221.0,1800.0,AMD
AMD FX-4350,CPU,2013-04-29,32.0,125.0,1200.0,4200.0,AMD
AMD Ryzen 5 3600XT,CPU,2019-07-07,7.0,95.0,3800.0,3800.0,AMD
Intel Pentium Dual-Core E2140,CPU,2007-06-03,65.0,65.0,105.0,1600.0,Intel
AMD EPYC 7261,CPU,2018-06-14,14.0,170.0,4800.0,2500.0,AMD
AMD Athlon XP-M 2500+,CPU,2001-01-01,130.0,45.0,63.0,1862.0,AMD
AMD A6-5200,CPU,2013-05-23,32.0,25.0,1178.0,2000.0,AMD
AMD A6-3670K,CPU,2011-12-20,32.0,100.0,1178.0,2700.0,AMD
AMD A9-9425 SoC,CPU,2016-05-31,28.0,15.0,1200.0,3100.0,AMD
Intel Core i7-4770HQ,CPU,2014-07-01,22.0,47.0,1400.0,2200.0,Intel
Intel Atom CE4130,CPU,2009-09-24,45.0,7.0,47.0,1200.0,Intel
AMD Athlon 850,CPU,2000-06-05,180.0,47.0,37.0,850.0,AMD
AMD A12-9800,CPU,2017-07-27,28.0,65.0,1178.0,3800.0,AMD
AMD FX-4150,CPU,2012-10-23,32.0,95.0,1200.0,3800.0,AMD
AMD A4-4355M,CPU,2012-09-27,32.0,17.0,1303.0,1900.0,AMD
Intel Core i7-940,CPU,2008-11-17,45.0,130.0,731.0,2933.0,Intel
AMD A4-5300,CPU,2012-10-02,32.0,65.0,1178.0,3400.0,AMD
AMD A9-9400 SoC,CPU,2016-05-31,28.0,10.0,1200.0,2400.0,AMD
AMD Sempron 3000+,CPU,2004-09-17,130.0,62.0,63.0,2000.0,AMD
Intel Pentium Dual-Core E2210,CPU,2009-06-01,45.0,65.0,228.0,2200.0,Intel
Intel Xeon Platinum 8276,CPU,2018-12-11,14.0,165.0,8000.0,2200.0,Intel
Intel Core 2 Duo T7100,CPU,2007-05-27,65.0,35.0,293.0,1800.0,Intel
AMD Opteron 6348,CPU,2012-11-05,32.0,115.0,2400.0,2800.0,AMD
AMD Opteron X2 870,CPU,2005-09-26,90.0,95.0,233.0,2000.0,AMD
Intel Xeon MP 7020 Dual-Core,CPU,2005-12-01,90.0,135.0,200.0,2667.0,Intel
AMD Sempron 3200+,CPU,2005-10-01,90.0,62.0,63.0,1800.0,AMD
Intel Atom N550,CPU,2010-08-23,45.0,9.0,176.0,1500.0,Intel
AMD A10-4600M,CPU,2012-05-15,32.0,35.0,1178.0,2300.0,AMD
Intel Core i5-2435M,CPU,2011-09-01,32.0,35.0,624.0,2400.0,Intel
Intel Xeon E5-2667 v2,CPU,2013-09-01,22.0,130.0,1400.0,3300.0,Intel
Intel Core 2 Quad Q8400S,CPU,2009-04-19,45.0,65.0,456.0,2666.0,Intel
Intel Pentium D 915,CPU,2006-07-23,65.0,95.0,376.0,2800.0,Intel
AMD Phenom X4 9750B,CPU,2008-08-15,65.0,95.0,450.0,2400.0,AMD
AMD Phenom II X4 B95,CPU,2009-10-01,45.0,95.0,758.0,3000.0,AMD
Intel Xeon E3-1220 v2,CPU,2012-05-14,22.0,69.0,1400.0,3100.0,Intel
Intel Pentium 4 HT 517,CPU,2001-01-01,90.0,84.0,125.0,2933.0,Intel
Intel Xeon E5-2697 v2,CPU,2013-09-01,22.0,130.0,1400.0,2700.0,Intel
Intel Xeon 7120N,CPU,2006-08-27,65.0,95.0,1328.0,3000.0,Intel
Intel Core Duo LV L2300,CPU,2006-01-05,65.0,15.0,151.0,1500.0,Intel
Intel Core i5-750,CPU,2009-09-08,45.0,95.0,774.0,2666.0,Intel
Intel Pentium G3450T,CPU,2014-07-21,22.0,35.0,1400.0,2900.0,Intel
AMD Athlon XP 1600+,CPU,2001-01-01,130.0,49.0,37.0,1400.0,AMD
AMD Ryzen 3 PRO 3300U,CPU,2019-04-08,12.0,15.0,4940.0,2100.0,AMD
AMD Athlon 64 3400+,CPU,2004-04-27,130.0,89.0,105.0,2400.0,AMD
Intel Xeon Phi 7110X,CPU,2012-11-12,22.0,300.0,5000.0,1250.0,Intel
Intel Atom D410,CPU,2010-01-04,45.0,10.0,123.0,1667.0,Intel
Intel Xeon L5520,CPU,2009-03-30,45.0,60.0,731.0,2266.0,Intel
AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,154.0,2200.0,AMD
Intel Pentium 4 HT EE 3.46,CPU,2004-10-31,130.0,110.0,178.0,3460.0,Intel
Intel Core 2 Duo T7500,CPU,2007-05-27,65.0,35.0,293.0,2200.0,Intel
Intel Core i7-970,CPU,2010-07-19,32.0,130.0,1170.0,3200.0,Intel
Intel Celeron B840,CPU,2011-07-01,32.0,35.0,504.0,1900.0,Intel
AMD Athlon II X3 405e,CPU,2009-10-20,45.0,45.0,300.0,2300.0,AMD
AMD Ryzen 3 3300X,CPU,2020-04-24,7.0,65.0,3800.0,3800.0,AMD
Intel Core i3-2120T,CPU,2011-09-04,32.0,35.0,504.0,2600.0,Intel
AMD Athlon II X2 245e,CPU,2010-05-11,45.0,45.0,410.0,2900.0,AMD
Intel Pentium 4 519K,CPU,2005-01-01,90.0,84.0,125.0,3060.0,Intel
Intel Core 2 Duo E4400,CPU,2007-07-22,65.0,65.0,167.0,2000.0,Intel
AMD Athlon 1400,CPU,2001-06-06,180.0,72.0,37.0,1400.0,AMD
AMD Sempron 3000+,CPU,2004-11-23,90.0,25.0,63.0,1800.0,AMD
Intel Xeon E5-2637 v2,CPU,2013-09-01,22.0,130.0,1400.0,3500.0,Intel
Intel Xeon E7-4850 v3,CPU,2015-06-01,22.0,115.0,1400.0,2200.0,Intel
Intel Pentium G3420,CPU,2013-09-01,22.0,54.0,1400.0,3200.0,Intel
Intel Core i5-4590,CPU,2014-05-01,22.0,84.0,1400.0,3300.0,Intel
AMD Athlon 64 3400+,CPU,2004-01-06,130.0,89.0,105.0,2200.0,AMD
Intel Xeon E5-2630 v2,CPU,2013-09-01,22.0,80.0,1400.0,2600.0,Intel
Intel Core 2 Duo E8190,CPU,2008-01-01,45.0,65.0,410.0,2667.0,Intel
Intel Pentium G640T,CPU,2012-06-03,32.0,35.0,504.0,2400.0,Intel
Intel Core 2 Solo ULV SU3500,CPU,2009-03-29,45.0,5.0,410.0,1400.0,Intel
AMD Athlon 220GE,CPU,2018-06-01,14.0,35.0,4800.0,3400.0,AMD
AMD Sempron 2600+,CPU,2001-01-01,130.0,25.0,69.0,1600.0,AMD
AMD Athlon II X3 425,CPU,2009-10-20,45.0,95.0,300.0,2700.0,AMD
AMD Athlon 64 4000+ (F3),CPU,2007-02-20,90.0,59.0,154.0,2600.0,AMD
Intel Xeon 3.4,CPU,2004-06-28,90.0,135.0,155.0,3400.0,Intel
AMD Athlon II X3 445,CPU,2010-05-11,45.0,95.0,300.0,3100.0,AMD
AMD Ryzen 3 3200G,CPU,2019-07-07,12.0,65.0,49.0,3600.0,AMD
AMD Opteron 146,CPU,2005-08-02,90.0,67.0,106.0,2000.0,AMD
AMD A8-7680,CPU,2018-10-26,28.0,45.0,1178.0,3500.0,AMD
AMD Ryzen Threadripper 1900,CPU,2017-08-31,14.0,125.0,9600.0,3100.0,AMD
AMD Athlon 64 X2 3800+ EE SFF,CPU,2006-05-23,90.0,35.0,154.0,2000.0,AMD
AMD Opteron 248,CPU,2004-12-01,90.0,85.0,106.0,2200.0,AMD
AMD Opteron X2 275,CPU,2005-05-31,90.0,95.0,233.0,2200.0,AMD
Intel Xeon E5-4607,CPU,2012-05-14,32.0,95.0,2270.0,2200.0,Intel
Intel Core 2 Duo T7800,CPU,2007-09-27,65.0,35.0,293.0,2600.0,Intel
AMD Opteron 844,CPU,2003-06-30,130.0,85.0,106.0,1800.0,AMD
Intel Pentium M 1.70,CPU,2003-06-02,130.0,24.0,77.0,1700.0,Intel
Intel Xeon E7-8870 v3,CPU,2015-06-01,22.0,140.0,1400.0,2100.0,Intel
AMD Athlon II X3 400e,CPU,2009-10-20,45.0,45.0,300.0,2200.0,AMD
AMD Opteron X2 885,CPU,2006-03-06,90.0,95.0,233.0,2600.0,AMD
Intel Pentium E5300,CPU,2008-11-30,45.0,65.0,228.0,2600.0,Intel
AMD Opteron 840,CPU,2003-09-09,130.0,82.0,106.0,1400.0,AMD
AMD Sempron 145,CPU,2010-09-01,45.0,45.0,234.0,2800.0,AMD
Intel Pentium M 730,CPU,2005-01-19,90.0,27.0,140.0,1600.0,Intel
Intel Atom E665CT,CPU,2010-11-22,45.0,7.0,47.0,1300.0,Intel
Intel Celeron 2.0,CPU,2002-09-18,130.0,73.0,55.0,2000.0,Intel
Intel Xeon 3.06,CPU,2003-07-14,130.0,97.0,286.0,3066.0,Intel
Intel Xeon Platinum 9282,CPU,2019-04-02,14.0,400.0,8000.0,2600.0,Intel
AMD Opteron 142,CPU,2004-05-18,130.0,82.0,106.0,1600.0,AMD
Intel Xeon X5650,CPU,2010-03-16,32.0,95.0,1170.0,2666.0,Intel
AMD A4-3300,CPU,2011-09-07,32.0,65.0,1178.0,2500.0,AMD
AMD FX-8150,CPU,2011-10-12,32.0,125.0,1200.0,3600.0,AMD
Intel Xeon E7-8850,CPU,2011-04-03,32.0,130.0,2600.0,2000.0,Intel
AMD Athlon 64 X2 3800+ EE,CPU,2006-05-23,90.0,65.0,154.0,2000.0,AMD
Intel Xeon L5630,CPU,2010-03-16,32.0,40.0,1170.0,2133.0,Intel
Intel Core Solo ULV U1500,CPU,2006-04-19,65.0,5.0,151.0,1333.0,Intel
Intel Pentium 4 511,CPU,2005-01-01,90.0,84.0,125.0,2800.0,Intel
Intel Celeron 440,CPU,2007-06-03,65.0,35.0,105.0,2000.0,Intel
Intel Xeon Platinum 8253,CPU,2018-12-11,14.0,125.0,8000.0,2200.0,Intel
Intel Atom Z650,CPU,2011-04-11,45.0,3.0,140.0,1200.0,Intel
AMD A10-6800K,CPU,2013-06-01,32.0,100.0,1178.0,4100.0,AMD
AMD A10-6790K,CPU,2013-10-28,32.0,100.0,1178.0,4000.0,AMD
Intel Celeron D 340,CPU,2004-09-22,90.0,84.0,125.0,2930.0,Intel
AMD Opteron 846,CPU,2004-12-01,90.0,85.0,106.0,2000.0,AMD
Intel Pentium M 755,CPU,2004-05-10,90.0,21.0,140.0,2000.0,Intel
AMD Mobile Athlon 64 2700+,CPU,2004-08-01,130.0,82.0,106.0,1600.0,AMD
AMD Athlon X4 970,CPU,2017-07-27,28.0,65.0,1178.0,3800.0,AMD
AMD Sempron 2200+,CPU,2001-01-01,130.0,62.0,63.0,1500.0,AMD
Intel Core i3-4100E,CPU,2013-09-04,22.0,37.0,1400.0,2400.0,Intel
AMD A8-5500B,CPU,2012-10-02,32.0,65.0,1178.0,3200.0,AMD
AMD Opteron 244,CPU,2004-12-01,90.0,85.0,106.0,1800.0,AMD
AMD Mobile Athlon 64 2800+,CPU,2004-08-01,130.0,35.0,106.0,1800.0,AMD
Intel Xeon X5570,CPU,2009-03-30,45.0,95.0,731.0,2933.0,Intel
Intel Core i7-960,CPU,2009-10-20,45.0,130.0,731.0,3200.0,Intel
AMD Athlon 64 FX-57,CPU,2005-06-27,90.0,104.0,114.0,2800.0,AMD
AMD A4-5150M,CPU,2013-03-12,32.0,35.0,1178.0,2700.0,AMD
Intel Core 2 Duo E7300,CPU,2008-08-10,45.0,65.0,420.0,2667.0,Intel
AMD Athlon X2 6500 BE,CPU,2008-09-08,65.0,95.0,450.0,2300.0,AMD
AMD A6-9550,CPU,2017-07-27,28.0,65.0,1178.0,3800.0,AMD
AMD Athlon XP 1700+,CPU,2001-01-01,130.0,50.0,37.0,1467.0,AMD
AMD Sempron 3500+ EE SFF,CPU,2006-05-23,90.0,35.0,81.0,2000.0,AMD
Intel Pentium G630,CPU,2011-09-04,32.0,65.0,504.0,2700.0,Intel
AMD Opteron 148,CPU,2005-08-02,90.0,85.0,106.0,2200.0,AMD
Intel Pentium E6500,CPU,2009-08-09,45.0,65.0,228.0,2933.0,Intel
Intel Core i5-3335S,CPU,2012-11-01,22.0,65.0,1480.0,2700.0,Intel
Intel Pentium 4 HT 640,CPU,2005-02-20,90.0,84.0,169.0,3200.0,Intel
AMD Athlon 220GE,CPU,2018-12-21,14.0,35.0,4800.0,3400.0,AMD
AMD Opteron 156,CPU,2005-05-01,90.0,104.0,106.0,3000.0,AMD
AMD Phenom II X4 970 BE,CPU,2010-09-21,45.0,125.0,758.0,3500.0,AMD
Intel Xeon E5506,CPU,2009-03-30,45.0,80.0,731.0,2133.0,Intel
Intel Core i3-6100,CPU,2015-09-01,14.0,51.0,1400.0,3700.0,Intel
AMD Ryzen Threadripper PRO 3995WX,CPU,2020-07-14,7.0,280.0,3800.0,2700.0,AMD
Intel Pentium 4 HT 517,CPU,2001-01-01,90.0,84.0,125.0,2933.0,Intel
AMD Athlon II X2 270u,CPU,2010-09-21,45.0,25.0,410.0,2000.0,AMD
AMD Athlon 64 3000+,CPU,2004-10-14,90.0,67.0,69.0,1800.0,AMD
Intel Xeon L5640,CPU,2010-03-16,32.0,60.0,1170.0,2266.0,Intel
AMD A6-9120C SoC,CPU,2019-01-07,28.0,6.0,1200.0,1600.0,AMD
AMD Opteron 244,CPU,2004-05-18,130.0,82.0,106.0,1800.0,AMD
Intel Celeron B830,CPU,2012-09-01,32.0,35.0,504.0,1800.0,Intel
AMD Sempron 3000+,CPU,2006-05-23,90.0,62.0,81.0,1600.0,AMD
AMD Athlon 64 X2 5000+ EE,CPU,2006-09-06,90.0,65.0,154.0,2600.0,AMD
AMD Opteron X2 265,CPU,2005-05-31,90.0,95.0,233.0,1800.0,AMD
Intel Pentium 4 HT 3.6E,CPU,2004-08-04,90.0,115.0,125.0,3600.0,Intel
AMD Athlon 64 LE-1640,CPU,2007-10-08,90.0,45.0,227.0,2600.0,AMD
AMD Athlon 64 3700+,CPU,2001-01-01,90.0,89.0,233.0,2200.0,AMD
Intel Xeon 7120M,CPU,2006-08-27,65.0,95.0,1328.0,3000.0,Intel
Intel Core i3-4360,CPU,2014-05-01,22.0,54.0,1400.0,3700.0,Intel
AMD Phenom II X3 710,CPU,2009-02-09,45.0,95.0,758.0,2600.0,AMD
AMD Opteron 150,CPU,2005-08-02,90.0,85.0,106.0,2400.0,AMD
Intel Pentium M 1.30,CPU,2003-03-12,130.0,24.0,77.0,1300.0,Intel
AMD Ryzen 5 3600X,CPU,2019-07-07,7.0,95.0,3800.0,3800.0,AMD
Intel Pentium 4 HT 520,CPU,2004-06-21,90.0,84.0,125.0,2933.0,Intel
AMD Opteron 846 HE,CPU,2005-03-01,90.0,55.0,106.0,2000.0,AMD
Intel Xeon Platinum 9242,CPU,2019-04-02,14.0,350.0,8000.0,2300.0,Intel
AMD Athlon II X2 240e,CPU,2009-10-20,45.0,45.0,410.0,2800.0,AMD
AMD A8-3530MX,CPU,2011-06-14,32.0,45.0,1178.0,1900.0,AMD
Intel Core 2 Quad Q8400,CPU,2009-04-19,45.0,95.0,456.0,2666.0,Intel
AMD Sempron 3300+,CPU,2005-08-19,90.0,62.0,63.0,2000.0,AMD
Intel Xeon E5-2680 v2,CPU,2013-09-01,22.0,115.0,1400.0,2800.0,Intel
AMD Athlon 64 3400+,CPU,2001-01-01,90.0,67.0,69.0,2400.0,AMD
AMD Athlon 64 X2 4800+ EE,CPU,2006-05-23,90.0,65.0,154.0,2400.0,AMD
AMD Opteron 6380,CPU,2012-11-05,32.0,115.0,2400.0,2500.0,AMD
AMD Athlon II X4 630,CPU,2009-09-16,45.0,95.0,300.0,2800.0,AMD
AMD Athlon 64 X2 4200+,CPU,2006-12-01,65.0,65.0,154.0,2200.0,AMD
Intel Mobile Pentium 4 HT 548,CPU,2004-09-28,90.0,88.0,125.0,3334.0,Intel
Intel Pentium 4 2.4,CPU,2002-04-02,130.0,110.0,55.0,2400.0,Intel
AMD Athlon II X3 420e,CPU,2010-09-21,45.0,45.0,300.0,2600.0,AMD
Intel Core i5-750s,CPU,2010-01-07,45.0,82.0,774.0,2400.0,Intel
AMD Phenom II X4 650T,CPU,2011-07-01,45.0,95.0,904.0,2700.0,AMD
Intel Pentium 3556U,CPU,2013-09-01,22.0,15.0,1400.0,1700.0,Intel
AMD Athlon X2 4850e,CPU,2008-03-05,65.0,45.0,154.0,2500.0,AMD
Intel Core i3-2130,CPU,2011-09-04,32.0,65.0,504.0,3400.0,Intel
Intel Celeron G1820,CPU,2013-12-01,22.0,54.0,1400.0,2700.0,Intel
AMD Opteron 244,CPU,2003-04-22,130.0,85.0,106.0,1800.0,AMD
Intel Xeon E5-2643 v2,CPU,2013-09-01,22.0,130.0,1400.0,3500.0,Intel
Intel Celeron 2955U,CPU,2013-09-01,22.0,15.0,1400.0,1400.0,Intel
AMD Phenom II X4 905e,CPU,2009-06-02,45.0,65.0,758.0,2500.0,AMD
Intel Atom Z520,CPU,2008-04-02,45.0,2.0,47.0,1334.0,Intel
AMD Athlon XP 2400+,CPU,2003-09-01,130.0,68.0,63.0,2000.0,AMD
AMD Sempron 2600+,CPU,2004-07-28,130.0,62.0,37.0,1833.0,AMD
Intel Pentium III 1133,CPU,2000-07-31,180.0,29.0,44.0,1133.0,Intel
Intel Core i3-2120,CPU,2011-02-20,32.0,65.0,504.0,3300.0,Intel
Intel Xeon 3.6,CPU,2005-02-14,90.0,135.0,178.0,3600.0,Intel
Intel Celeron G550,CPU,2012-06-01,32.0,65.0,504.0,2600.0,Intel
Intel Xeon E7-4809 v3,CPU,2015-06-01,22.0,115.0,1400.0,2000.0,Intel
Intel Xeon E7-4820 v3,CPU,2015-06-01,22.0,115.0,1400.0,1900.0,Intel
Intel Core i7-4710HQ,CPU,2014-04-01,22.0,47.0,1400.0,2500.0,Intel
AMD Sempron 3200+,CPU,2006-05-23,90.0,62.0,81.0,1800.0,AMD
AMD Athlon II X3 435,CPU,2009-10-09,45.0,95.0,300.0,2900.0,AMD
Intel Xeon E3-1225 v2,CPU,2012-05-14,22.0,77.0,1400.0,3200.0,Intel
Intel Pentium 4 HT 670,CPU,2005-05-26,90.0,84.0,169.0,3800.0,Intel
AMD FX-6100,CPU,2011-10-12,32.0,95.0,1200.0,3300.0,AMD
AMD Athlon 64 X2 3600+,CPU,2001-01-01,90.0,89.0,154.0,2000.0,AMD
AMD Mobile Athlon 64 2700+,CPU,2005-08-01,130.0,35.0,106.0,1600.0,AMD
Intel Xeon E5-2650L v2,CPU,2013-09-01,22.0,70.0,1400.0,1700.0,Intel
Intel Core i5-661,CPU,2010-01-07,32.0,87.0,382.0,3333.0,Intel
AMD Athlon 64 3800+,CPU,2005-04-04,90.0,89.0,69.0,2400.0,AMD
AMD FX-4100,CPU,2011-10-12,32.0,95.0,1200.0,3600.0,AMD
Intel Pentium G6951,CPU,2010-09-01,32.0,73.0,382.0,2800.0,Intel
AMD Sempron 2300+,CPU,2001-01-01,130.0,62.0,63.0,1583.0,AMD
AMD FX-6130,CPU,2012-10-23,32.0,95.0,1200.0,3600.0,AMD
AMD Phenom II X4 B93,CPU,2009-10-01,45.0,95.0,758.0,2800.0,AMD
AMD Opteron 242,CPU,2003-04-22,130.0,85.0,106.0,1600.0,AMD
AMD Ryzen Threadripper 3980X,CPU,2019-11-14,7.0,280.0,3800.0,3500.0,AMD
Intel Core 2 Duo E4700,CPU,2008-03-02,65.0,65.0,167.0,2600.0,Intel
Intel Core i3-2332M,CPU,2011-09-01,32.0,35.0,624.0,2200.0,Intel
Intel Core i7-870,CPU,2009-09-08,45.0,95.0,774.0,2933.0,Intel
AMD A6-1450,CPU,2013-05-23,32.0,8.0,1178.0,1000.0,AMD
Intel Pentium D 960,CPU,2006-05-02,65.0,130.0,376.0,3600.0,Intel
AMD Opteron 842,CPU,2003-06-30,130.0,85.0,106.0,1600.0,AMD
Intel Core Solo T1400,CPU,2006-01-05,65.0,27.0,151.0,1833.0,Intel
AMD Athlon 64 4000+,CPU,2001-01-01,90.0,89.0,233.0,2400.0,AMD
AMD A4-3305M,CPU,2011-06-14,32.0,35.0,1178.0,1900.0,AMD
